name,rating,reviews,salary
TCS,3.3,1.2L Reviews,10.2L Salaries
Accenture,3.7,74.5k Reviews,7.1L Salaries
Wipro,3.6,65.9k Reviews,4.9L Salaries
Cognizant,3.7,62.2k Reviews,6.1L Salaries
Capgemini,3.6,54.2k Reviews,4.9L Salaries
HDFC Bank,3.8,53.3k Reviews,1.5L Salaries
Infosys,3.5,49.5k Reviews,5.3L Salaries
HCLTech,3.4,46.6k Reviews,3.9L Salaries
ICICI Bank,3.9,46.4k Reviews,1.5L Salaries
Tech Mahindra,3.3,43.9k Reviews,2.9L Salaries
Genpact,3.6,43k Reviews,2.4L Salaries
TP,3.9,39.2k Reviews,1L Salaries
Jio,4.4,33.9k Reviews,62.2k Salaries
Axis Bank,3.6,33.8k Reviews,1L Salaries
Concentrix Corporation,3.6,32.7k Reviews,1.3L Salaries
Amazon,3.9,31.9k Reviews,1.6L Salaries
Reliance Retail,3.9,27.6k Reviews,74.5k Salaries
iEnergizer,4.6,27.3k Reviews,24.9k Salaries
LTIMindtree,3.6,26.8k Reviews,2L Salaries
HDB Financial Services,3.9,26.1k Reviews,49.3k Salaries
IBM,3.9,26k Reviews,2.2L Salaries
Larsen & Toubro Limited,3.9,24.2k Reviews,76.7k Salaries
Deloitte,3.6,23.6k Reviews,2.7L Salaries
Kotak Mahindra Bank,3.6,22.8k Reviews,87.1k Salaries
Reliance Industries,4.0,20.5k Reviews,74.4k Salaries
Vodafone Idea,3.9,17.7k Reviews,49.3k Salaries
Bharti Airtel,3.8,17.3k Reviews,50.5k Salaries
BYJU'S,3.2,16.4k Reviews,52.1k Salaries
WNS,3.3,15.5k Reviews,71.2k Salaries
IDFC FIRST Bank,3.9,15k Reviews,50.4k Salaries
Ernst & Young,3.4,14.8k Reviews,1.5L Salaries
IndusInd Bank,3.4,14.5k Reviews,53.1k Salaries
AU Small Finance Bank,3.8,14.4k Reviews,30.1k Salaries
Tata Motors,4.1,14.3k Reviews,44.4k Salaries
Bajaj Finserv,3.9,13.4k Reviews,32k Salaries
Muthoot FinCorp,4.5,13.3k Reviews,9.6k Salaries
Flipkart,3.9,13.2k Reviews,57.1k Salaries
PwC,3.3,12.9k Reviews,1.3L Salaries
HDFC Life,3.8,12.3k Reviews,34.1k Salaries
Mahindra & Mahindra,4.0,12.2k Reviews,41.2k Salaries
Infosys BPM,3.5,12.2k Reviews,77.4k Salaries
DXC Technology,3.6,12.2k Reviews,75.2k Salaries
Bandhan Bank,3.7,11.4k Reviews,26.9k Salaries
Digitide Solutions,3.5,10.5k Reviews,27.3k Salaries
Yes Bank,3.7,10.4k Reviews,43k Salaries
Mphasis,3.3,10.4k Reviews,75.2k Salaries
Tata Steel,4.0,10.1k Reviews,34.8k Salaries
Quess,3.8,9.9k Reviews,31.6k Salaries
Asian Paints,3.9,9.8k Reviews,26.5k Salaries
Startek,3.0,9.7k Reviews,25k Salaries
UltraTech Cement,4.1,9.6k Reviews,25k Salaries
Maruti Suzuki,4.1,9.6k Reviews,29.4k Salaries
Paytm,3.2,9.5k Reviews,34.5k Salaries
Bajaj Finance,3.9,9.4k Reviews,23.5k Salaries
